,date,open,high,low,close,adjClose,volume
147,2015-11-01,107.66,108.19,106.79,107.02,89.67,11760081
148,2015-11-08,106.63,106.7,105.23,105.37,88.42,13711648
149,2015-11-15,105.04,105.83,105.02,105.8,88.78,11394373
150,2015-11-22,105.99,106.23,105.54,105.95,88.91,6789467
151,2015-11-29,105.89,106.44,105.85,106.36,89.25,3983655
152,2015-12-06,106.35,106.81,105.17,105.77,88.89,11634996
153,2015-12-13,105.83,107.09,105.8,106.95,89.88,12083503
154,2015-12-20,106.5,106.64,105.4,106.43,89.45,11306743
155,2015-12-27,106.39,106.61,105.78,105.97,89.2,5050066
156,2016-01-03,105.94,106.16,105.28,105.59,88.88,7214945
157,2016-01-10,106.09,107.2,105.83,107.15,90.19,15101994
158,2016-01-17,106.78,108.19,106.7,107.99,90.9,23374300
159,2016-01-24,107.82,108.78,107.62,107.87,90.8,13967322
160,2016-01-31,108.11,109.18,107.85,109.11,91.84,10309747
161,2016-02-07,108.81,110.07,108.56,109.75,92.51,26971028
162,2016-02-14,110.14,112.01,110.08,110.58,93.21,14533375
163,2016-02-21,110.38,110.63,109.67,110.49,93.14,12139142
164,2016-02-28,110.38,111.39,110.04,110.39,93.05,11159466
165,2016-03-06,110.4,110.63,108.93,109.12,92.11,16648275
166,2016-03-13,108.95,109.75,108.31,108.4,91.51,10218900
167,2016-03-20,108.54,110.96,108.2,109.34,92.3,12855775
168,2016-03-27,109.1,109.58,108.77,109.19,92.17,6116360
169,2016-04-03,109.31,110.44,109.23,110.14,93.12,16329511
170,2016-04-10,110.25,111.09,110.11,110.87,93.74,10012688
171,2016-04-17,110.6,110.92,110.14,110.56,93.47,6771096
172,2016-04-24,110.48,110.48,109.34,109.41,92.5,7045983
173,2016-05-01,109.36,110.1,109.0,110.0,93.0,9943306
174,2016-05-08,109.66,110.67,109.51,110.41,93.48,8668100
175,2016-05-15,110.55,110.92,110.36,110.89,93.89,10842479
176,2016-05-22,110.62,110.62,109.32,109.63,92.82,8217855
177,2016-05-29,109.72,109.9,109.36,109.6,92.8,5741487
178,2016-06-05,109.33,110.91,109.33,110.89,94.03,11530948
179,2016-06-12,110.66,111.58,110.57,111.45,94.5,8880161
180,2016-06-19,111.65,112.53,111.48,111.72,94.73,11027170
181,2016-06-26,111.23,112.48,110.65,112.21,95.15,10934743
182,2016-07-03,112.96,113.32,112.69,113.09,96.03,20101220
183,2016-07-10,113.51,113.91,113.32,113.8,96.63,8268892
184,2016-07-17,113.48,113.58,111.8,111.92,95.04,15495770
185,2016-07-24,112.1,112.32,111.66,112.12,95.21,13643814
186,2016-07-31,112.09,113.1,111.89,113.07,96.01,8152931
187,2016-08-07,112.56,112.8,111.87,111.88,95.13,9981336
188,2016-08-14,111.75,112.7,111.64,112.38,95.56,7584216
189,2016-08-21,112.21,112.32,111.72,111.86,95.12,6841559
190,2016-08-28,112.11,112.32,111.37,111.45,94.77,6396100
191,2016-09-04,111.65,112.05,111.27,111.5,94.94,9329923
192,2016-09-11,111.47,112.26,110.95,111.0,94.52,5109224
193,2016-09-18,110.88,111.19,110.44,111.09,94.59,6340219
194,2016-09-25,110.99,111.71,110.83,111.63,95.05,4741389
195,2016-10-02,111.78,112.33,111.72,111.88,95.27,5841083
196,2016-10-09,111.7,111.73,110.38,110.64,94.34,11730756
197,2016-10-16,110.4,110.69,110.1,110.21,93.97,7341130
198,2016-10-23,110.32,110.88,110.3,110.74,94.42,5790478
199,2016-10-30,110.81,110.81,109.72,109.97,93.77,7754297
200,2016-11-06,110.1,110.56,109.53,110.51,94.36,10260312
201,2016-11-13,110.1,110.17,107.08,107.12,91.46,18109653
202,2016-11-20,106.5,106.9,105.56,105.66,90.22,14504140
203,2016-11-27,105.74,106.08,105.0,105.38,89.98,8664300
204,2016-12-04,105.73,106.0,104.31,105.18,89.94,12710311
205,2016-12-11,104.83,105.58,104.54,104.59,89.43,9127109
206,2016-12-18,104.52,105.1,103.43,103.64,88.62,11283776
207,2016-12-25,104.0,104.17,103.68,103.96,89.03,7234295
208,2017-01-01,103.71,104.96,103.7,104.82,89.77,6286735
209,2017-01-08,104.35,105.68,104.29,105.09,90.0,9699381
210,2017-01-15,105.47,106.03,105.05,105.39,90.26,7839414
211,2017-01-22,105.97,106.03,104.48,104.82,89.77,8443621
212,2017-01-29,105.01,105.57,104.18,104.72,89.68,9378322
213,2017-02-05,104.74,105.22,104.39,104.81,89.9,8510782
214,2017-02-12,105.24,106.0,105.0,105.23,90.26,9399900
215,2017-02-19,105.0,105.32,104.32,105.19,90.22,10811789
216,2017-02-26,104.94,106.16,104.92,106.08,90.99,10165200
217,2017-03-05,105.99,106.0,104.26,104.57,89.81,12556523
218,2017-03-12,104.59,104.6,103.7,103.98,89.31,9046736
219,2017-03-19,103.81,104.82,103.69,104.73,89.95,9845756
220,2017-03-26,104.75,105.73,104.75,105.48,90.6,10125816
221,2017-04-02,105.92,105.96,105.36,105.59,90.69,9017514
222,2017-04-09,105.56,106.32,105.53,105.61,90.84,10728013
223,2017-04-16,105.75,107.01,105.7,106.94,91.99,8113561
224,2017-04-23,106.95,107.47,106.68,106.91,91.96,9026756
225,2017-04-30,106.43,106.69,106.09,106.6,91.7,14336308
226,2017-05-07,106.32,106.49,105.8,105.99,91.31,7708248
227,2017-05-14,105.89,106.28,105.41,106.19,91.48,10435269
228,2017-05-21,106.14,107.25,106.05,107.05,92.22,12850132
229,2017-05-28,106.93,107.08,106.55,107.0,92.18,8565987
230,2017-06-04,107.18,107.69,106.9,107.57,92.81,7660107
231,2017-06-11,107.4,107.83,107.11,107.26,92.54,10356040
